online_order,book_table,rate,votes,location,cuisines,costing,listed_in(type)
Yes,No,4.0,108,Shivajinagar,3,550,Dine-out
Yes,No,3.9,58,Koramangala 7th Block,2,500,Delivery
Yes,No,4.1,6948,Koramangala 5th Block,4,750,Delivery
No,No,3.3,9,Bannerghatta Road,2,600,Dine-out
Yes,No,3.700448817952718,0,JP Nagar,2,300,Desserts
Yes,No,3.7,133,Jayanagar,4,700,Delivery
Yes,No,3.9,1994,Marathahalli,4,800,Dine-out
No,No,3.3,4,Jayanagar,2,400,Cafes
Yes,No,3.4,4,Bellandur,1,450,Dine-out
Yes,No,3.2,6,Koramangala 7th Block,1,300,Delivery
Yes,No,3.700448817952718,0,HBR Layout,2,200,Delivery
No,No,3.700448817952718,0,Koramangala 6th Block,3,800,Cafes
No,Yes,3.9,155,Koramangala 5th Block,4,1000,Drinks & nightlife
No,No,3.3,4,Whitefield,1,500,Delivery
Yes,No,3.5,56,Brigade Road,2,150,Delivery
No,No,3.7,68,Brigade Road,2,500,Dine-out
Yes,No,3.2,66,Bellandur,2,800,Dine-out
Yes,No,3.9,154,JP Nagar,2,400,Dine-out
Yes,No,4.1,262,Sarjapur Road,2,700,Delivery
Yes,No,3.0,20,Brigade Road,4,400,Delivery
No,No,3.5,11,Shivajinagar,1,200,Dine-out
Yes,No,3.700448817952718,0,"Varthur Main Road, Whitefield",2,500,Delivery
No,No,3.5,22,Frazer Town,2,200,Desserts
Yes,No,3.5,9,Indiranagar,1,100,Delivery
No,No,3.5,27,Wilson Garden,1,200,Dine-out
Yes,No,4.3,190,Koramangala 4th Block,2,400,Desserts
Yes,No,3.8,75,Basaveshwara Nagar,1,350,Desserts
Yes,No,3.700448817952718,0,Brigade Road,2,200,Dine-out
No,No,3.700448817952718,0,Commercial Street,1,300,Delivery
Yes,No,3.0,290,Koramangala 4th Block,2,400,Dine-out
No,Yes,4.2,337,Lavelle Road,2,1000,Dine-out
Yes,No,3.700448817952718,0,JP Nagar,1,500,Delivery
No,No,3.700448817952718,0,Electronic City,3,350,Dine-out
No,No,3.2,64,JP Nagar,3,600,Desserts
Yes,No,3.700448817952718,0,HSR,4,600,Delivery
Yes,No,3.7,36,HSR,4,250,Dine-out
Yes,No,3.9,230,Banashankari,1,650,Delivery
Yes,Yes,4.0,1623,Whitefield,6,900,Delivery
Yes,No,3.8,172,Koramangala 5th Block,3,400,Delivery
Yes,No,4.0,454,Indiranagar,2,300,Dine-out
Yes,Yes,4.1,297,Richmond Road,4,1000,Delivery
No,Yes,3.6,40,Indiranagar,2,700,Dine-out
Yes,Yes,4.3,343,Koramangala 4th Block,3,450,Delivery
Yes,No,3.7,61,BTM,4,350,Delivery
Yes,No,3.9,255,BTM,2,400,Delivery
Yes,No,4.3,2420,JP Nagar,1,800,Dine-out
No,No,3.2,7,Koramangala 5th Block,2,100,Dine-out
Yes,No,4.0,25,BTM,3,550,Delivery
Yes,No,4.4,480,Koramangala 5th Block,3,450,Delivery
Yes,No,3.6,16,BTM,3,300,Delivery
Yes,No,4.0,633,Rajajinagar,4,750,Dine-out
No,No,3.6,21,Bannerghatta Road,3,600,Dine-out
No,No,3.4,7,Marathahalli,1,350,Dine-out
No,No,3.3,5,Wilson Garden,1,300,Dine-out
Yes,No,3.9,197,Kammanahalli,2,600,Dine-out
No,No,3.2,9,Banashankari,1,300,Dine-out
Yes,No,3.7,95,Electronic City,3,400,Delivery
Yes,No,4.3,2871,Koramangala 5th Block,5,600,Dine-out
Yes,No,3.8,58,Banashankari,4,300,Dine-out
Yes,No,3.9,153,JP Nagar,2,400,Cafes
Yes,No,3.5,70,Vasanth Nagar,1,200,Delivery
Yes,No,3.700448817952718,0,BTM,2,300,Dine-out
Yes,No,4.1,778,Koramangala 1st Block,2,700,Dine-out
Yes,No,3.9,92,JP Nagar,3,300,Delivery
No,No,3.4,10,Sarjapur Road,2,300,Dine-out
Yes,No,3.7,257,Jeevan Bhima Nagar,4,450,Delivery
Yes,No,3.7,215,BTM,2,200,Delivery
Yes,No,3.5,18,Koramangala 1st Block,2,200,Dine-out
Yes,No,4.0,176,HSR,2,100,Delivery
Yes,No,3.8,204,HSR,5,600,Desserts
Yes,Yes,4.1,662,Malleshwaram,3,1100,Delivery
Yes,No,4.1,252,Frazer Town,2,350,Desserts
Yes,Yes,4.0,929,Brigade Road,2,800,Buffet
No,No,3.700448817952718,0,Malleshwaram,2,250,Dine-out
Yes,No,3.6,19,Bannerghatta Road,3,800,Delivery
No,No,3.6,9,City Market,1,100,Dine-out
